epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,26579.4,0.57708,2.32506,0.21777,0.34809,1.04799,0.97579,0.9813,0.99181,0.91303,0.87796,0.85156,0.87159,0.74381,0.50905,1.7097,0.04061,0.24714,0.94897,0.001882,0.001882,0.001882
84,26896.9,0.57392,2.33536,0.21636,0.34796,1.04637,0.9758,0.98136,0.99181,0.91319,0.87872,0.85207,0.87186,0.74473,0.50861,1.70678,0.04045,0.24667,0.94872,0.001783,0.001783,0.001783
85,27215.4,0.57144,2.29956,0.21654,0.34565,1.04591,0.9758,0.98169,0.99182,0.91338,0.87901,0.85138,0.87177,0.74536,0.5079,1.70337,0.04027,0.24638,0.94824,0.001684,0.001684,0.001684
86,27532.5,0.57489,2.30118,0.21411,0.34854,1.0479,0.97584,0.98156,0.9918,0.91354,0.88007,0.85297,0.87256,0.74596,0.50727,1.69923,0.04013,0.24594,0.94777,0.001585,0.001585,0.001585
87,27849.8,0.57039,2.2905,0.2128,0.34324,1.04579,0.97599,0.98156,0.99178,0.91367,0.88217,0.85342,0.87364,0.74656,0.50672,1.69509,0.03992,0.24554,0.94738,0.001486,0.001486,0.001486
88,28169.7,0.57089,2.29364,0.21372,0.34613,1.04716,0.97603,0.98156,0.99181,0.91382,0.88226,0.85387,0.87357,0.7474,0.50613,1.69137,0.03969,0.24503,0.94691,0.001387,0.001387,0.001387
89,28488.4,0.56424,2.25811,0.21151,0.33959,1.04205,0.97621,0.98143,0.99182,0.91407,0.88215,0.85476,0.87555,0.74883,0.50553,1.6874,0.03951,0.24472,0.94651,0.001288,0.001288,0.001288
90,28806.8,0.56306,2.23206,0.21323,0.33935,1.04234,0.97656,0.98171,0.99188,0.91424,0.88196,0.85515,0.87704,0.74934,0.50471,1.68351,0.03934,0.24423,0.94589,0.001189,0.001189,0.001189
91,29101.8,0.45924,1.64773,0.0691,0.2457,0.9823,0.97717,0.98132,0.99191,0.91432,0.88253,0.85502,0.87787,0.74999,0.50394,1.67898,0.03903,0.2436,0.94527,0.00109,0.00109,0.00109
92,29398.3,0.45148,1.61405,0.06596,0.24239,0.97718,0.97766,0.9807,0.99192,0.9146,0.88377,0.85502,0.87807,0.75049,0.50276,1.67419,0.03867,0.24309,0.94436,0.000991,0.000991,0.000991
93,29694.3,0.44512,1.56855,0.06438,0.23749,0.97306,0.97815,0.98043,0.99195,0.91519,0.8855,0.85378,0.87852,0.75158,0.50184,1.66927,0.03819,0.24261,0.94364,0.000892,0.000892,0.000892
94,29988.9,0.43789,1.54362,0.06379,0.23192,0.96713,0.97827,0.98017,0.99198,0.91541,0.88578,0.8552,0.87932,0.75234,0.50079,1.6642,0.03774,0.24195,0.94288,0.000793,0.000793,0.000793
95,30284.9,0.43547,1.52532,0.06256,0.23253,0.96622,0.97864,0.98004,0.992,0.916,0.88585,0.85489,0.87978,0.75329,0.49972,1.65869,0.03728,0.24142,0.94209,0.000694,0.000694,0.000694
96,30579.2,0.42817,1.48995,0.06179,0.22736,0.95894,0.97851,0.9804,0.99201,0.91628,0.8875,0.85553,0.88093,0.75405,0.49846,1.65358,0.03683,0.24063,0.94128,0.000595,0.000595,0.000595
97,30874.2,0.42771,1.47428,0.06104,0.22528,0.96054,0.97821,0.98117,0.99203,0.91662,0.88857,0.85617,0.88162,0.75508,0.49749,1.64857,0.03636,0.24005,0.94067,0.000496,0.000496,0.000496
98,31169.2,0.41996,1.43957,0.06015,0.22115,0.95393,0.97878,0.98105,0.99207,0.91694,0.88969,0.85579,0.88203,0.75606,0.49631,1.64305,0.03592,0.23936,0.93986,0.000397,0.000397,0.000397
99,31463.7,0.41803,1.43244,0.06115,0.22082,0.95678,0.97928,0.98079,0.99208,0.91731,0.89156,0.85707,0.88298,0.75714,0.49514,1.63792,0.03549,0.23863,0.93909,0.000298,0.000298,0.000298
100,31757.6,0.41484,1.42177,0.06054,0.21813,0.95427,0.97983,0.98105,0.99213,0.91748,0.89153,0.85784,0.88366,0.75781,0.49389,1.63264,0.03501,0.23809,0.93822,0.000199,0.000199,0.000199
